time,pixels
0.03200000000000003,4241
0.036000000000001364,4217
0.03200000000000003,4186
0.03200000000000003,4180
0.03599999999999781,4154
0.03200000000000003,4137
0.03200000000000003,4124
0.036000000000001364,4104
0.03200000000000003,4064
0.03200000000000003,4067
0.036000000000001364,4042
0.03200000000000003,4018
0.03200000000000003,4007
0.03599999999999781,3968
0.03200000000000003,3982
0.03100000000000236,3982
0.036999999999999034,3956
0.03200000000000003,3980
0.03200000000000003,3979
0.03599999999999781,3945
0.03200000000000003,3979
0.03200000000000003,3932
0.036000000000001364,3933
0.03200000000000003,3928
0.03200000000000003,3900
0.03200000000000003,3888
0.03500000000000014,3878
0.03300000000000125,3801
0.03200000000000003,3754
0.03599999999999781,3626
0.03200000000000003,3558
0.03200000000000003,3382
0.036000000000001364,3257
0.03200000000000003,3060
0.03200000000000003,2795
0.03599999999999781,2525
0.03200000000000003,3188
0.03200000000000003,2700
0.036000000000001364,4200
0.03200000000000003,3842
0.03200000000000003,4425
0.036000000000001364,4538
0.03200000000000003,7365
0.03200000000000003,7558
0.0589999999999975,13943
0.05700000000000216,10165
0.05999999999999872,3569
0.054999999999999716,13495
0.06099999999999994,14369
0.060000000000002274,11863
0.055999999999997385,10228
0.060000000000002274,10822
0.055999999999997385,10626
0.060000000000002274,5080
0.05600000000000094,10497
0.05999999999999872,10669
0.05999999999999872,10179
0.054999999999999716,5009
0.06099999999999994,4685
0.05600000000000094,10032
0.05999999999999872,9867
0.05600000000000094,9013
0.060000000000002274,8698
0.055999999999997385,9454
0.060000000000002274,3812
0.0589999999999975,9532
0.05600000000000094,8912
0.06099999999999994,8959
0.05600000000000094,9706
0.05999999999999872,4122
0.05600000000000094,4214
0.05999999999999872,9856
0.05600000000000094,9788
0.0600000000000005,8980
0.058999999999999275,10161
0.05600000000000094,10181
0.06099999999999994,9334
0.05599999999999916,4683
0.0600000000000005,9146
0.05599999999999916,9990
0.0600000000000005,9916
0.0600000000000005,9026
0.05599999999999916,9686
0.05900000000000105,9706
0.05699999999999861,4973
0.05900000000000105,10317
0.05599999999999916,8997
0.06099999999999994,9785
0.05600000000000094,9919
0.0600000000000005,4497
0.05999999999999872,4205
0.05600000000000094,9879
0.058999999999999275,9012
0.057000000000000384,8941
0.058999999999999275,9680
0.057000000000000384,9888
0.0600000000000005,5232
0.0600000000000005,4377
0.05599999999999916,9218
0.0600000000000005,9904
0.05599999999999916,9919
0.0600000000000005,4625
0.05599999999999916,9781
0.05900000000000105,9424
0.05599999999999916,8994
0.06099999999999994,10033
0.0600000000000005,5144
0.05599999999999916,10120
0.0600000000000005,9624
0.05600000000000094,5274
0.058999999999999275,6565
0.057000000000000384,10256
0.058999999999999275,9170
0.057000000000000384,10625
0.058999999999999275,11081
0.06099999999999994,11013
0.05600000000000094,6761
0.0600000000000005,6912
0.05599999999999916,10841
0.05900000000000105,10782
0.05699999999999861,10464
0.0600000000000005,5689
0.0600000000000005,9831
0.05599999999999916,8872
0.0600000000000005,9358
0.05599999999999916,9441
0.0600000000000005,4305
0.05600000000000094,9484
0.058999999999999275,8378
0.057000000000000384,4078
0.0600000000000005,8228
0.05999999999999872,9158
0.05600000000000094,3509
0.05999999999999872,9045
0.05600000000000094,9063
0.0600000000000005,8492
0.05599999999999916,3302
0.0600000000000005,3409
0.05599999999999916,9254
0.0600000000000005,9092
0.058999999999999275,8682
0.057000000000000384,7837
0.05900000000000105,9350
0.05699999999999861,4556
0.0600000000000005,9227
0.05600000000000094,8937
0.05999999999999872,8321
0.0600000000000005,9352
0.05600000000000094,3889
0.058999999999999275,3752
0.05599999999999916,8590
0.0600000000000005,8740
0.057000000000000384,3350
0.0600000000000005,9013
0.05599999999999916,8975
0.0600000000000005,8190
0.058999999999999275,3427
0.057000000000000384,5066
0.0600000000000005,8926
0.05599999999999916,8894
0.0600000000000005,8066
0.05599999999999916,8109
0.05900000000000105,8731
0.057000000000000384,2941
0.058999999999999275,8741
0.06099999999999994,7680
0.05600000000000094,7911
0.05999999999999872,8504
0.054999999999999716,3110
0.06099999999999994,3232
0.05600000000000094,8755
0.0600000000000005,8345
0.05999999999999872,8021
0.05600000000000094,9098
0.058999999999999275,9064
0.057000000000000384,7839
0.0600000000000005,3713
0.054999999999999716,8157
0.06099999999999994,9004
0.05599999999999916,8823
0.05900000000000105,7107
0.06099999999999994,8330
0.05599999999999916,8409
0.0600000000000005,4723
0.05599999999999916,7918
0.05900000000000105,6214
0.057000000000000384,6821
